

-- Insert Data into `supplier` Table
INSERT INTO supplier (supplier_id, name, contact, phone, email, address, city, province, postal) VALUES
(1, 'Fresh Farms Produce', 'Alice Johnson', '4165551234', 'alice.j@freshfarms.com', '123 Green Street', 'Toronto', 'ON', 'M5H1J9'),
(2, 'Ocean Catch Fish Market', 'Bob Smith', '4165555678', 'bob.s@oceancatch.com', '456 Fisher Avenue', 'Mississauga', 'ON', 'L5B1G5'),
(3, 'Bakery Supplies Co.', 'Carol Williams', '6475551234', 'carol.w@bakerysupplies.com', '789 Baker Blvd', 'Ottawa', 'ON', 'K1A0B1'),
(4, 'Meat Masters', 'David Brown', '9055559876', 'david.b@meatmasters.com', '321 Carnivore Road', 'Pickering', 'ON', 'L1V2V4'),
(5, 'Dairy Delight', 'Eve Davis', '6135556543', 'eve.d@dairydelight.com', '654 Dairy Lane', 'Hamilton', 'ON', 'L8P3J6'),
(6, 'Spice World', 'Frank Thomas', '9055558765', 'frank.t@spiceworld.com', '987 Spice Drive', 'Brampton', 'ON', 'L6Y5H5'),
(7, 'Gourmet Goods', 'Grace Wilson', '4165553456', 'grace.w@gourmetgoods.com', '567 Gourmet Avenue', 'London', 'ON', 'N6A1A6'),
(8, 'Vegetable Valley', 'Henry White', '6475558765', 'henry.w@vegetablevalley.com', '234 Veggie Road', 'Kingston', 'ON', 'K7K1M1'),
(9, 'Coffee and Tea Suppliers', 'Ivy Green', '9055551234', 'ivy.g@coffeeandtea.com', '876 Beverage Park', 'Kitchener', 'ON', 'N2H2N2'),
(10, 'Pasta Central', 'Jack Black', '6135559876', 'jack.b@pastacentral.com', '543 Noodle Way', 'Markham', 'ON', 'L3R1G1'),
(11, 'Fruit Fiesta', 'Karen Lee', '9055555678', 'karen.l@fruitfiesta.com', '210 Fruit Street', 'Richmond Hill', 'ON', 'L4B4V3'),
(12, 'Bakery Best', 'Liam Adams', '6475558765', 'liam.a@bakerybest.com', '678 Bread Plaza', 'Burlington', 'ON', 'L7R3V5'),
(13, 'Condiment Corner', 'Mia Moore', '4165552345', 'mia.m@condimentcorner.com', '345 Flavor Blvd', 'Vaughan', 'ON', 'L4K2W8'),
(14, 'Seafood Sensations', 'Nina Clark', '9055553456', 'nina.c@seafoodsensations.com', '789 Ocean Avenue', 'St. Catharines', 'ON', 'L2R6P9'),
(15, 'Poultry Plus', 'Oscar Harris', '6135556543', 'oscar.h@poultryplus.com', '432 Chicken Lane', 'Waterloo', 'ON', 'N2L3G1'),
(16, 'Seasonal Suppliers', 'Pam King', '9055558765', 'pam.k@seasonalsuppliers.com', '210 Seasonal Blvd', 'Whitby', 'ON', 'L1N8Y9'),
(17, 'Beverage Brothers', 'Quincy Martin', '6475552345', 'quincy.m@beveragebrothers.com', '654 Drink Street', 'Oshawa', 'ON', 'L1G5Y7'),
(18, 'Gourmet Greens', 'Rachel Perez', '9055559876', 'rachel.p@gourmetgreens.com', '987 Gourmet Drive', 'Aurora', 'ON', 'L4G6V7'),
(19, 'Sweet Treats Supply', 'Sam Roberts', '4165553456', 'sam.r@sweettreats.com', '543 Candy Parkway', 'Barrie', 'ON', 'L4N9Y8'),
(20, 'Frozen Foods Inc.', 'Tina Brown', '6135558765', 'tina.b@frozenfoods.com', '210 Ice Park', 'Newmarket', 'ON', 'L3Y4V9'),
(21, 'Organic Oasis', 'Uma Smith', '9055552345', 'uma.s@organicoasis.com', '432 Organic Avenue', 'Milton', 'ON', 'L9T2N3'),
(22, 'Gourmet Grocers', 'Victor White', '6475559876', 'victor.w@gourmetgrocers.com', '678 Grocery Street', 'Guelph', 'ON', 'N1G5E3'),
(23, 'Fine Food Suppliers', 'Wendy Young', '9055556543', 'wendy.y@finefoods.com', '345 Fine Lane', 'Oakville', 'ON', 'L6H5Y7');



-- Insert Data into `product` Table
INSERT INTO product (product_id, supplier_id, product, unit_price, unit_size, category) VALUES
(1, 1, 'Apples', 3.50, 'kg', 'Fruits'),
(2, 1, 'Bananas', 1.20, 'kg', 'Fruits'),
(3, 2, 'Salmon Fillet', 12.00, 'kg', 'Seafood'),
(4, 2, 'Cod Fillet', 10.00, 'kg', 'Seafood'),
(5, 3, 'Wheat Flour', 2.80, 'kg', 'Bakery'),
(6, 3, 'Sugar', 1.00, 'kg', 'Bakery'),
(7, 4, 'Chicken Breast', 8.00, 'kg', 'Meat'),
(8, 4, 'Beef Steak', 15.00, 'kg', 'Meat'),
(9, 5, 'Cheddar Cheese', 5.00, 'kg', 'Dairy'),
(10, 5, 'Butter', 4.00, 'kg', 'Dairy'),
(11, 6, 'Black Pepper', 10.00, 'kg', 'Spices'),
(12, 6, 'Turmeric', 8.00, 'kg', 'Spices'),
(13, 7, 'Olive Oil', 7.00, 'litre', 'Oil'),
(14, 7, 'Vinegar', 4.00, 'litre', 'Condiments'),
(15, 8, 'Lettuce', 1.50, 'kg', 'Vegetables'),
(16, 8, 'Tomatoes', 2.20, 'kg', 'Vegetables'),
(17, 9, 'Coffee Beans', 15.00, 'kg', 'Beverages'),
(18, 9, 'Tea Bags', 12.00, 'box', 'Beverages'),
(19, 10, 'Spaghetti', 2.50, 'kg', 'Pasta'),
(20, 10, 'Penne', 3.00, 'kg', 'Pasta'),
(21, 11, 'Oranges', 3.00, 'kg', 'Fruits'),
(22, 11, 'Grapes', 4.50, 'kg', 'Fruits'),
(23, 12, 'Croissants', 1.50, 'each', 'Bakery'),
(24, 12, 'Bagels', 1.00, 'each', 'Bakery'),
(25, 13, 'Ketchup', 3.00, 'bottle', 'Condiments'),
(26, 13, 'Mayonnaise', 3.50, 'bottle', 'Condiments'),
(27, 14, 'Shrimps', 15.00, 'kg', 'Seafood'),
(28, 14, 'Scallops', 20.00, 'kg', 'Seafood'),
(29, 15, 'Turkey', 10.00, 'kg', 'Meat'),
(30, 15, 'Pork Chop', 9.00, 'kg', 'Meat'),
(31, 16, 'Seasonal Vegetables', 5.00, 'kg', 'Vegetables'),
(32, 16, 'Mixed Herbs', 6.00, 'kg', 'Spices'),
(33, 17, 'Orange Juice', 4.00, 'litre', 'Beverages'),
(34, 17, 'Apple Juice', 3.50, 'litre', 'Beverages'),
(35, 18, 'Spinach', 2.50, 'kg', 'Vegetables'),
(36, 18, 'Kale', 3.00, 'kg', 'Vegetables'),
(37, 19, 'Chocolate Chips', 8.00, 'kg', 'Bakery'),
(38, 19, 'Cake Mix', 5.00, 'box', 'Bakery'),
(39, 20, 'Frozen Peas', 3.00, 'kg', 'Frozen Food'),
(40, 20, 'Frozen Corn', 2.50, 'kg', 'Frozen Food'),
(41, 21, 'Organic Carrots', 2.80, 'kg', 'Vegetables'),
(42, 21, 'Organic Potatoes', 1.80, 'kg', 'Vegetables'),
(43, 22, 'Gourmet Crackers', 4.50, 'box', 'Snacks'),
(44, 22, 'Gourmet Popcorn', 5.00, 'bag', 'Snacks'),
(45, 23, 'Pastry Flour', 3.20, 'kg', 'Bakery'),
(46, 23, 'Baking Soda', 1.50, 'kg', 'Bakery'),
(47, 1, 'Blueberries', 5.00, 'kg', 'Fruits'),
(48, 1, 'Strawberries', 6.00, 'kg', 'Fruits'),
(49, 2, 'Mackerel', 9.00, 'kg', 'Seafood'),
(50, 2, 'Tuna', 11.00, 'kg', 'Seafood'),
(51, 3, 'Rye Flour', 3.50, 'kg', 'Bakery'),
(52, 3, 'Cornmeal', 2.00, 'kg', 'Bakery'),
(53, 4, 'Ground Beef', 7.00, 'kg', 'Meat'),
(54, 4, 'Pork Belly', 10.00, 'kg', 'Meat'),
(55, 5, 'Mozzarella Cheese', 5.50, 'kg', 'Dairy'),
(56, 5, 'Greek Yogurt', 6.00, 'kg', 'Dairy'),
(57, 6, 'Cinnamon', 12.00, 'kg', 'Spices'),
